,system,site,lat,lon,datetime,samplecode,datecollect,variable,value,unit,sampledepth_m,groupname,timecollect
1,Lake Arrowhead,AH1,33.74623,-98.3876,8/12/2022 9:48,1500-98,8/12/2022,chl a,9.83,ugL-1,0.25,flame,9:48
2,Lake Arrowhead,AH1,33.74623,-98.3876,8/12/2022 9:48,1501-98,8/12/2022,chl a,26.1,ugL-1,0.25,flame,9:48
3,Lake Arrowhead,AH1,33.74623,-98.3876,8/12/2022 9:48,1502-98,8/12/2022,chl a,14.6,ugL-1,0.25,flame,9:48
4,Lake Arrowhead,AH2,33.68267,-98.4266,8/12/2022 10:17,1503-98,8/12/2022,chl a,13.7,ugL-1,0.25,flame,10:17
5,Lake Arrowhead,AH2,33.68267,-98.4266,8/12/2022 10:17,1504-98,8/12/2022,chl a,9.08,ugL-1,0.25,flame,10:17
6,Lake Arrowhead,AH2,33.68267,-98.4266,8/12/2022 10:17,1505-98,8/12/2022,chl a,6.58,ugL-1,0.25,flame,10:17
7,Lake Arrowhead,AH3,33.76283,-98.3658,8/12/2022 11:08,1506-98,8/12/2022,chl a,64.3,ugL-1,0.25,flame,11:08
8,Lake Arrowhead,AH3,33.76283,-98.3658,8/12/2022 11:08,1507-98,8/12/2022,chl a,58,ugL-1,0.25,flame,11:08
9,Lake Arrowhead,AH3,33.76283,-98.3658,8/12/2022 11:08,1508-98,8/12/2022,chl a,40.9,ugL-1,0.25,flame,11:08
10,Lake Arrowhead,AH4,33.70428,-98.3622,8/12/2022 11:41,1509-98,8/12/2022,chl a,18.4,ugL-1,0.25,flame,11:41
11,Lake Arrowhead,AH4,33.70428,-98.3622,8/12/2022 11:41,1510-98,8/12/2022,chl a,5.81,ugL-1,0.25,flame,11:41
12,Lake Arrowhead,AH4,33.70428,-98.3622,8/12/2022 11:41,1511-98,8/12/2022,chl a,4.65,ugL-1,0.25,flame,11:41
13,Lake Arrowhead,AH5,33.67108,-98.3864,8/12/2022 12:05,1512-98,8/12/2022,chl a,20.1,ugL-1,0.25,flame,12:05
14,Lake Arrowhead,AH5,33.67108,-98.3864,8/12/2022 12:05,1513-98,8/12/2022,chl a,25.3,ugL-1,0.25,flame,12:05
15,Lake Arrowhead,AH5,33.67108,-98.3864,8/12/2022 12:05,1514-98,8/12/2022,chl a,33.2,ugL-1,0.25,flame,12:05
16,Lake Arrowhead,AH1,33.74623,-98.3876,8/12/2022 9:48,1190-16,8/12/2022,afdm,6.5,mg/L,0.25,flame,9:48
17,Lake Arrowhead,AH1,33.74623,-98.3876,8/12/2022 9:48,1093-01,8/12/2022,nh4n,0.0307,mgL-1,0.25,flame,9:48
