label,lat,lon,distkm,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,ndti,norm_dist,system
1,31.583774,-97.206345,0,82,241,133,139,303,420,242,296,152,167,139,127,86,0,0,0,0,0,6,31,43,25,3030,-0.2688821752265861,0,waco
1,31.900773,-103.913498,0,142,140,129,139,124,213,131,116,55,62,47,38,63,0,0,0,0,0,6,14,23,15,2483,-0.23837209302325582,0,redbluff
1,33.763114,-98.361111,0,58,515,376,354,606,768,545,572,436,430,406,421,396,0,0,0,0,0,6,63,78,55,3491,-0.16984006092916984,0,arrowhead
2,31.581434,-97.207117,0.27,82,252,102,115,296,408,229,279,137,150,130,114,89,0,0,0,0,0,6,31,42,24,3030,-0.28100470957613816,0.027355623100303955,waco
2,31.839451,-99.007416,0.453,113,332,301,269,440,517,351,340,257,265,224,255,203,0,0,0,0,0,6,45,53,37,3741,-0.1912442396313364,0,brownwood
2,31.904271,-103.915901,0.45,142,177,106,95,163,243,158,135,61,64,52,48,14,0,0,0,0,0,6,17,25,17,2483,-0.2119700748129676,0.028481012658227847,redbluff
2,33.650682,-96.137581,0.119,123,201,837,346,863,653,558,608,584,618,1277,443,384,0,0,0,0,0,6,88,67,57,2805,-0.07844756399669695,0,bonham
2,33.760688,-98.360939,0.27,58,525,325,289,615,772,529,564,403,417,371,377,360,0,0,0,0,0,6,64,79,54,3491,-0.18677940046118371,0.018620689655172416,arrowhead
3,31.505506,-99.674835,0.839,129,406,183,183,447,500,298,287,206,229,195,208,201,0,0,0,0,0,6,47,51,32,3533,-0.2531328320802005,0,ohivie
3,31.579167,-97.20789,0.531,82,260,100,91,317,421,246,295,173,167,146,140,102,0,0,0,0,0,6,33,44,25,3030,-0.2623688155922039,0.05379939209726445,waco
3,31.840764,-99.011536,0.869,113,371,300,303,442,525,366,373,277,295,263,303,250,0,0,0,0,0,6,46,54,38,3741,-0.17845117845117844,0.04140539464516771,brownwood
3,31.90806,-103.917274,0.889,142,281,144,130,262,320,230,205,158,169,139,138,114,0,0,0,0,0,6,28,33,25,2483,-0.16363636363636364,0.05626582278481013,redbluff
3,33.65054,-96.139383,0.287,123,144,88,73,179,147,100,98,100,120,123,82,109,0,0,0,0,0,6,20,16,11,2805,-0.1902834008097166,0.0466537073035268,bonham
3,33.758119,-98.360939,0.555,58,516,304,252,595,744,513,543,391,400,362,352,333,0,0,0,0,0,6,60,75,52,3491,-0.18377088305489261,0.03827586206896552,arrowhead
4,31.507921,-99.675608,1.12,129,305,135,148,399,434,237,208,153,181,159,138,110,0,0,0,0,0,6,42,45,24,3533,-0.293591654247392,0.015058142650447463,ohivie
4,31.576754,-97.208576,0.807,82,272,101,105,309,420,252,292,170,177,148,148,111,0,0,0,0,0,6,33,43,26,3030,-0.25,0.08176291793313072,waco
4,31.842368,-99.015312,1.27,113,265,207,211,354,429,260,248,200,220,180,191,172,0,0,0,0,0,6,37,44,26,3741,-0.24528301886792453,0.08131780631034138,brownwood
4,31.911557,-103.918304,1.29,142,296,140,137,291,365,280,270,196,211,165,178,100,0,0,0,0,0,6,31,38,28,2483,-0.13178294573643412,0.08164556962025317,redbluff
4,33.65054,-96.141014,0.439,123,161,107,91,303,236,138,131,126,76,333,101,159,0,0,0,0,0,6,31,24,14,2805,-0.2620320855614973,0.08886420438767009,bonham
4,33.755978,-98.359909,0.81,58,508,294,274,604,751,538,555,397,400,374,390,313,0,0,0,0,0,6,61,77,56,3491,-0.165244375484872,0.05586206896551724,arrowhead
5,31.511067,-99.672861,1.55,129,109,90,85,125,122,78,80,54,72,53,65,37,0,0,0,0,0,6,14,13,8,3533,-0.22,0.038100852044370616,ohivie
