,site_id,nars_name,state,lat,lon,date,secchi (m),turb (ntu),area_ha,group,visit_no
1,NLA17_GA-10023,"Acworth, Lake",GA,34.0568,-84.6806,8/22/2017,1.23,4.65,119.963,all,1
2,NLA12_GA-104,Allatoona Lake,GA,34.1378,-84.6485,7/25/2012,2.32,1.46,3511.42,all,1
3,NLA17_GA-10004,Allatoona Lake,GA,34.1378,-84.6484,8/23/2017,2.52,1.49,3511.42,all,1
4,NLA12_CA-R01,Alpine Lake,CA,37.9491,-122.627,7/20/2012,4.85,0.66,99.6608,all,1
5,NLA17_NV-10225,Angel Lake,NV,41.0265,-115.087,6/21/2017,4.9,0.94,4.82613,all,1
6,NLA12_MS-107,Arkabutla Lake,MS,34.7222,-90.0742,6/4/2012,0.225,33.8,3907.84,all,1
7,NLA17_MS-10002,Arkabutla Lake,MS,34.7222,-90.0742,7/26/2017,0.875,6.63,3907.84,all,1
8,NLA12_MO-108,Arrow Head Lake,MO,36.6598,-91.8828,7/5/2012,2.86,1.02,21.2724,all,1
9,NLA17_MO-10006,Arrow Head Lake,MO,36.6598,-91.8828,7/13/2017,0.555,1.89,21.2724,all,1
10,NLA12_AZ-103,Ashurst Lake,AZ,35.0236,-111.401,8/9/2012,0.55,26.1,81.4525,all,1
11,NLA17_AZ-10002,Ashurst Lake,AZ,35.0197,-111.403,9/13/2017,0.95,8.34,81.4525,all,1
12,NLA12_NC-109,Atagahi Lake,NC,35.1483,-82.7166,6/4/2012,3.5,0.81,33.8571,all,1
13,NLA17_NC-10004,Atagahi Lake,NC,35.1481,-82.7168,6/29/2017,2.7,1.19,33.8571,all,1
14,NLA12_WA-151,Baker Lake,WA,48.6879,-121.668,9/18/2012,6.48,0.42,1941.75,all,1
15,NLA17_WA-10038,Baker Lake,WA,48.7256,-121.643,8/22/2017,3.5,1.56,1941.75,all,1
16,NLA12_SC-108,Bakers Lake,SC,33.5749,-81.8851,5/28/2012,1.05,2.8,6.75105,all,1
17,NLA17_SC-10004,Bakers Lake,SC,33.5737,-81.8841,7/28/2017,1.35,3.81,6.75105,all,1
18,NLA12_AZ-130,Bartlett Reservoir,AZ,33.8453,-111.619,5/10/2012,1.85,3.03,622.699,all,1
